카테고리,제목,저자,정가,할인가,이미지
[국내도서],오뒷세이아,"호메로스 (지은이), 김기영 (옮긴이) | 민음사 | 2022년 5월","26,000","23,400원","['https://image.aladin.co.kr/product/29561/69/SpineShelf/S462130731_d.jpg', 'https://image.aladin.co.kr/product/29561/69/cover200/8937470217_2.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],2027 황철곤 행정학 기출문제집 - 전2권,황철곤 (지은이) | 넥스트스터디(모두공북스) | 2026년 8월,"48,000","43,200원",['https://image.aladin.co.kr/product/40024/58/cover200/k992130438_1.jpg']
[국내도서],타로의 얼렁뚱땅 2,"야츠미 츠무 (지은이), 한수진 (옮긴이) | 서울미디어코믹스(서울문화사) | 2026년 8월","6,500","5,850원",['https://image.aladin.co.kr/product/40019/76/cover200/k212130338_1.jpg']
[국내도서],ETS 토익 정기시험 기출문제집 1000 Vol. 4 Reading (리딩),ETS (엮은이) | (주)YBM(와이비엠) | 2023년 12월,"19,800","17,820원","['https://image.aladin.co.kr/product/33010/94/SpineShelf/8917239501_d.jpg', 'https://image.aladin.co.kr/product/33010/94/cover200/8917239501_2.jpg']"
[국내도서],그리스인 조르바,"니코스 카잔자키스 (지은이), 이윤기 (옮긴이) | 열린책들 | 2009년 12월","14,800","13,320원","['https://image.aladin.co.kr/product/603/79/SpineShelf/8932909342_d.jpg', 'https://image.aladin.co.kr/product/603/79/cover200/8932909342_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],초판본 하늘과 바람과 별과 시 : 1955년 정음사 오리지널 초판본 표지 디자인 (반양장),윤동주 (지은이) | 더스토리 | 2024년 12월,"2,990","2,700원","['https://image.aladin.co.kr/product/35363/48/SpineShelf/K972035997_d.jpg', 'https://image.aladin.co.kr/product/35363/48/cover200/k972035997_1.jpg']"
[국내도서],기억의 무늬,백희성 (지은이) | 북로망스 | 2026년 8월,"19,800","17,820원","['https://image.aladin.co.kr/product/39899/39/SpineShelf/K532130922_d.jpg', 'https://image.aladin.co.kr/product/39899/39/cover200/k532130922_1.jpg']"
[국내도서],마음밭 기경자,한성열 (지은이) | 규장(규장문화사) | 2026년 8월,"23,000","20,700원","['https://image.aladin.co.kr/product/39953/30/SpineShelf/K582130427_d.jpg', 'https://image.aladin.co.kr/product/39953/30/cover200/k582130427_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],2026 제17회 젊은작가상 수상작품집,"김채원, 길란, 남의현, 서장원, 위수정, 이미상, 함윤이 (지은이) | 문학동네 | 2026년 3월","7,700","6,930원","['https://image.aladin.co.kr/product/38989/43/SpineShelf/K232137415_d.jpg', 'https://image.aladin.co.kr/product/38989/43/cover200/k232137415_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],너무 시끄러운 고독,"보후밀 흐라발 (지은이), 이창실 (옮긴이) | 문학동네 | 2016년 7월","15,000","13,500원","['https://image.aladin.co.kr/product/8715/79/SpineShelf/8954641547_d.jpg', 'https://image.aladin.co.kr/product/8715/79/cover200/8954641547_2.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],진지인 다이어트 밀프렙 레시피,김지인(진지인) (지은이) | 길벗 | 2026년 7월,"22,000","19,800원","['https://image.aladin.co.kr/product/39896/3/SpineShelf/K972130826_d.jpg', 'https://image.aladin.co.kr/product/39896/3/cover200/k972130826_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],투자에 대한 생각,"하워드 막스 (지은이), 김경미 (옮긴이) | 비즈니스맵 | 2012년 9월","15,000","13,500원","['https://image.aladin.co.kr/product/1990/58/SpineShelf/8962604655_d.jpg', 'https://image.aladin.co.kr/product/1990/58/cover200/s342534700_1.jpg']"
[국내도서],원전번역 일리아스 / 오뒷세이아 세트 - 전2권,"71,000원 → 63,900원 (10%할인),  마일리지 3,550원",9.4,"63,900원",['https://image.aladin.co.kr/product/448/65/cover200/8991290302_1.jpg']
